ques,ans
"Effects on Marine Life in Ganges or Ganga
","The results of mercury analysis in various specimens collected along the basin indicated that some fish muscles tended to accumulate high levels of mercury. Of it, approximately 50–84% was organic mercury. A strong positive correlation between mercury levels in muscle with food habit and fish length was found. The Ganges river dolphin is one of few species of fresh water dolphins in the world. Listed as an endangered species, their population is believed to be less than 2000. Hydroelectric and irrigation dams along the Ganges that prevents the dolphins from travelling up and down river is the main reason for their reducing population. The Ganges softshell turtle (Nilssonia gangetica) is found in the Ganges, Indus, and Mahanadi river systems of Pakistan, northern India, Bangladesh, and southern Nepal. This turtle inhabits deep rivers, streams, large canals, lakes and ponds, with a bed of mud or sand. According to the International Union for Conservation of Nature, freshwater turtle species are vulnerable. Due to their long lifespan and high trophic level in the aquatic food web, turtles are vulnerable to heavy metals pollution, a major kind of pollution in the Ganges.
"
"
","
"
"Effects on wildlife in Ganges or Ganga
","Some of the dams being constructed along the Ganges basin will submerge substantial areas of nearby forest. For example, the Kotli-Bhel dam at Devprayag will submerge 1200 hectares of forest, wiping out the forest area and eventually the wildlife.
"
"
","
"
"Effects on Human beings
","An analysis of the Ganges water in 2006 and 2007 showed significant associations between water-borne/enteric disease and the use of the river for bathing, laundry, washing, eating, cleaning utensils, and brushing teeth. Water in the Ganges has been correlated to contracting dysentery, cholera, hepatitis, as well as severe diarrhoea which continues to be one of the leading causes of death of children in India
"
"
","
"
"Ganga Mahasabha
","Ganga Mahasabha is an Indian organization dedicated to the Ganges, founded by Madan Mohan Malaviya in 1905. After a long struggle, British India agreed on 5 November 1914. According to it the uninterrupted flow of the Ganges is the rudimentary right of Hindus. The day is known as a 'Aviral Ganga Samjhauta Divas' (Uninterrupted Ganga flow agreement day) in the history of India and the agreement came into existence on 19 December 1916 which is known as Agreement of 1916. The sanctity of the agreement is not preserved by the state and central governments of India after independence though it is legally valid. More and more river water is diverted for irrigation use converting the river into a polluted sewer.
"
"
","
"
"Ganga Action Plan
","The Ganga Action Plan (GAP) was launched by Rajiv Gandhi, the then Prime Minister of India, in June 1986 with covering 25 Class I towns (6 in Uttar Pradesh, 4 in Bihar and 15 in West Bengal);[37] Rs 862.59 crore were spent. Its main objective was to improve the water quality by the interception, diversion, and treatment of domestic sewage and to prevent toxic and industrial chemical wastes from identified polluting units from entering the river. The other objectives of the GAP are as follows: Control of non-point from human defecation, cattle wallowing, and the disposal of human remains in the river, Research and development to conserve the biotic diversity of the river to augment its productivity, Development of sewage treatment technology such as Up-flow Anaerobic Sludge Blanket (UASB) and sewage treatment through afforestation, Rehabilitation of soft-shelled turtles for pollution abatement,Resource recovery options such as methane production for energy generation and use of aquaculture for revenue generation, To act as a trendsetter for taking up similar action plans in other grossly polluted stretches in other rivers, The ultimate objective of the GAP is to have an approach of integrated river basin management considering the various dynamic interactions between abiotic and biotic eco-system.
"
"
","
"
"National Ganga River Basin Authority (NGRBA)
","NGRBA was established by the Central Government of India, on 20 February 2009 under Section 3 of the Environment Protection Act, 1986. It declared the Ganges as the ""National River"" of India. The chair includes the Prime Minister of India and chief ministers of states through which the Ganges flows. In 2011, the World Bank approved $1 billion in funding for the National Ganges River Basin Authority.
"
"
","
"
"2010 Government clean-up campaign
","In 2010, it was announced that ""the Indian government has embarked on a $4 billion campaign to ensure that by 2020 no untreated municipal sewage or industrial runoff enters the 1,560-mile river.""[42] A World Bank spokesman described the plan in 2011, saying: Earlier efforts to clean the Ganges concentrated on a few highly polluting towns and centres and addressed 'end-of-the-pipe' wastewater treatment there; Mission Clean Ganga builds on lessons from the past, and will look at the entire Gangetic basin while planning and prioritising investment instead of the earlier town-centric approach. Lobby group Sankat Mochan Foundation (SMF) ""is working with GO2 Water Inc., a Berkeley, California, wastewater-technology company"" to design a new Sewage treatment system for Varanasi. The Supreme Court of India has been working on the closure and relocation of many of the industrial plants like Tulsi along the Ganges. In 2010 the government declared the stretch of river between Gaumukh and Uttarkashi an Eco-sensitive zone.
"
"
","
"
"Namami Gange Mission-II
","With the success of the Namami Gange Programme, the government of India allocated Rs 22500 crore for Namami Gange Mission-II which shall boost the maintenance of the Ganga ( funds allocated till 2026). From FY 2014–15 through January 31, 2023, the government has given the National Mission for Clean Ganga (NMCG) a total of Rs 14084.72 crore. Of that amount, the NMCG has given out Rs 13607.18 crore to state governments, state missions for clean Ganga, and other organizations for the implementation of projects related to Ganga rejuvenation.
"
"
","
"
"Ganga Manthan
","Ganga Manthan was a national conference held to discuss issues and possible solutions for cleaning the river. The conference aimed to take feedback from stakeholders and prepare a road map for rejuvenating the Ganges. The event was organised by the National Mission for Clean Ganga (NMCG) on 7 July 2014 at Vigyan Bhawan in New Delhi.
"
"
","
"
"Nigamanand
","In early 2011, a Hindu monk named Swami Nigamananda Saraswati fasted to death, protesting against pollutive river bed quarrying of the Ganges happening in the district of Haridwar, Uttarakhand. Following his death in June 2011, his ashram leader Swami Shivananda fasted for 11 days starting on 25 November 2011, taking his movement forward. On 5 December 2011, the Government of Uttarakhand released an order to ban river bed mining in the Bhogpur and Bishanpur ghats. According to administration officials, quarrying in the Ganges would now be studied by a special committee which would assess its environmental impacts on the river and its nearby areas.
"
"
","
"
"G. D. Agrawal
","G. D. Agrawal was an environment activist and patron of Ganga Mahasabha, an organisation founded by Madan Mohan Malviya in 1905, demanding removal of dams on Ganges. Because of support from other social activists like Anna Hazare, the then-Prime Minister of India, Manmohan Singh agreed to Agrawal's demands. Accordingly, he called for a National River Ganga Basin Authority (NRGBA) meeting and urged the authorities to utilise the ₹26 billion (US$520M) sanctioned ""for creating sewer networks, sewage treatment plants, sewage pumping stations, electric crematoria, community toilets and development of river fronts"". Agrawal died on 11 October 2018, after being on an indefinite fast since 22 June 2018, demanding the government act on its promises to clean and save the Ganges
"
